date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:06	9239/9239	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:05%20GMT	https://courses.csail.mit.edu/6.006/spring11/notes.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/notes.html	(from )
15:57:06	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Aug%202017%2012:57:06%20GMT	https://courses.csail.mit.edu/robots.txt		(from )
15:57:07	3065/3065	---M--	200	added ('OK')	text/css	etag:%22bf9-49b2638ed9740%22	https://courses.csail.mit.edu/6.006/spring11/style.css	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/style.css	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:08	1901/1901	---M--	200	added ('OK')	image/gif	etag:%2276d-499d51dce8480%22	https://courses.csail.mit.edu/6.006/spring11/csaillogosmall.gif	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/csaillogosmall.gif	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:10	3200/3200	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:09%20GMT	https://courses.csail.mit.edu/6.006/spring11/index.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/index.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:11	4179/4179	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:10%20GMT	https://courses.csail.mit.edu/6.006/spring11/staff.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/staff.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:12	12205/12205	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:11%20GMT	https://courses.csail.mit.edu/6.006/spring11/info.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/info.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:13	2452/2452	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:12%20GMT	https://courses.csail.mit.edu/6.006/spring11/calendar.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/calendar.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:14	4681/4681	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:13%20GMT	https://courses.csail.mit.edu/6.006/spring11/psets.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:15	3244/3244	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:14%20GMT	https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/quizzes.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:16	4249/4249	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2012:57:15%20GMT	https://courses.csail.mit.edu/6.006/spring11/resources.shtml	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/resources.html	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:16	259/259	---M--	200	added ('OK')	image/gif	etag:%22103-499d51dce8480%22	https://courses.csail.mit.edu/6.006/spring11/mit-logo.gif	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/mit-logo.gif	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:18	3804/3804	---M--	200	added ('OK')	application/x-gzip	etag:%22edc-49b3a27900140%22	https://courses.csail.mit.edu/6.006/spring11/lectures/lec01_code.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/lectures/lec01_code.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:27	120451/120451	---M--	200	added ('OK')	application/pdf	etag:%221d683-49bf0d6f9e400%22	https://courses.csail.mit.edu/6.006/spring11/rec/rec01.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/rec/rec01.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:28	5357950/5357950	---M--	200	added ('OK')	application/pdf	etag:%2251c17e-49b56c8406a00%22	https://courses.csail.mit.edu/6.006/spring11/lectures/lec01.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/lectures/lec01.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:29	273647/273647	---M--	200	added ('OK')	application/pdf	etag:%2242cef-49fc9bbb09f40%22	https://courses.csail.mit.edu/6.006/spring11/lectures/lec03.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/lectures/lec03.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:29	158318/158318	---M--	200	added ('OK')	application/pdf	etag:%2226a6e-49bf0d7927a80%22	https://courses.csail.mit.edu/6.006/spring11/rec/rec02.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/rec/rec02.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:57:30	734741/734741	---M--	200	added ('OK')	application/pdf	etag:%22b3615-49bf0d8775c40%22	https://courses.csail.mit.edu/6.006/spring11/rec/rec03.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/rec/rec03.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
